,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
0,2021_01_DAL_TB,2021,REG,1,2021-09-09,Thursday,20:20,DAL,TB,29,31,2,Raymond James Stadium,Home,outdoors,grass,2021090900
1,2021_01_PHI_ATL,2021,REG,1,2021-09-12,Sunday,13:00,PHI,ATL,32,6,-26,Mercedes-Benz Stadium,Home,,fieldturf,2021091200
2,2021_01_PIT_BUF,2021,REG,1,2021-09-12,Sunday,13:00,PIT,BUF,23,16,-7,New Era Field,Home,outdoors,astroturf,2021091201
3,2021_01_NYJ_CAR,2021,REG,1,2021-09-12,Sunday,13:00,NYJ,CAR,14,19,5,Bank of America Stadium,Home,outdoors,grass,2021091202
4,2021_01_MIN_CIN,2021,REG,1,2021-09-12,Sunday,13:00,MIN,CIN,24,27,3,Paul Brown Stadium,Home,outdoors,grass,2021091203
5,2021_01_SF_DET,2021,REG,1,2021-09-12,Sunday,13:00,SF,DET,41,33,-8,Ford Field,Home,dome,fieldturf,2021091204
6,2021_01_JAX_HOU,2021,REG,1,2021-09-12,Sunday,13:00,JAX,HOU,21,37,16,NRG Stadium,Home,,grass,2021091205
7,2021_01_SEA_IND,2021,REG,1,2021-09-12,Sunday,13:00,SEA,IND,28,16,-12,Lucas Oil Stadium,Home,,fieldturf,2021091206
8,2021_01_ARI_TEN,2021,REG,1,2021-09-12,Sunday,13:00,ARI,TEN,38,13,-25,Nissan Stadium,Home,outdoors,grass,2021091207
9,2021_01_LAC_WAS,2021,REG,1,2021-09-12,Sunday,13:00,LAC,WAS,20,16,-4,FedExField,Home,outdoors,grass,2021091208
10,2021_01_CLE_KC,2021,REG,1,2021-09-12,Sunday,16:25,CLE,KC,29,33,4,GEHA Field at Arrowhead Stadium,Home,outdoors,astroturf,2021091209
11,2021_01_MIA_NE,2021,REG,1,2021-09-12,Sunday,16:25,MIA,NE,17,16,-1,Gillette Stadium,Home,outdoors,grass,2021091210
12,2021_01_GB_NO,2021,REG,1,2021-09-12,Sunday,16:25,GB,NO,3,38,35,TIAA Bank Stadium,Neutral,outdoors,grass,2021091211
13,2021_01_DEN_NYG,2021,REG,1,2021-09-12,Sunday,16:25,DEN,NYG,27,13,-14,MetLife Stadium,Home,outdoors,fieldturf ,2021091212
14,2021_01_CHI_LA,2021,REG,1,2021-09-12,Sunday,20:20,CHI,LA,14,34,20,SoFi Stadium,Home,dome,matrixturf,2021091213
15,2021_01_BAL_LV,2021,REG,1,2021-09-13,Monday,20:15,BAL,LV,27,33,6,Allegiant Stadium,Home,dome,grass,2021091300
16,2021_02_NYG_WAS,2021,REG,2,2021-09-16,Thursday,20:20,NYG,WAS,29,30,1,FedExField,Home,outdoors,grass,2021091600
17,2021_02_NO_CAR,2021,REG,2,2021-09-19,Sunday,13:00,NO,CAR,7,26,19,Bank of America Stadium,Home,outdoors,grass,2021091900
