,player_id,player_name,games_played,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0000003,A.al-Jabbar,13,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,443.0,1.0,0.0,0.0,20.0,-18.861868668600508,0.0,17.0,22.0,84.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0574771631509066,0.0,0.0,64.7,81.69999999999999
0,00-0000007,R.Abdullah,4,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,1.0,-2.231024927459657,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.089563610148616,0.0,0.0,2.3000000000000003,4.300000000000001
0,00-0000104,T.Aikman,14,1999,258.0,430.0,2920.0,17.0,11.0,19.0,130.0,5.0,1.0,0.0,0.0,124.0,36.24471406739789,0.0,1.32621241780099,21.0,10.0,1.0,2.0,0.0,3.0,-8.846873050992144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.79999999999998,167.79999999999998
0,00-0000145,D.Alexander,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,1.0,0.0,0.0,1.0,5.453656489960849,0.0,54.0,103.0,832.0,2.0,0.0,0.0,0.0,0.0,31.0,22.726649107770285,0.0,0.0,109.4,163.40000000000003
0,00-0000166,S.Alexander,15,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0,318.0,3.0,0.0,0.0,0.0,0.0,18.0,16.415006723882417,0.0,0.0,49.8,77.8
0,00-0000172,B.Alford,2,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.45772223838139325,0.0,0.0,6.7,7.7
0,00-0000210,J.Allen,8,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,119.0,0.0,0.0,0.0,6.0,-3.604304681902049,0.0,9.0,11.0,91.0,0.0,0.0,0.0,0.0,4.0,4.0,4.497149528004229,0.0,0.0,21.000000000000004,30.000000000000004
0,00-0000232,T.Allen,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,887.0,8.0,7.0,3.0,43.0,-49.66700451553688,0.0,14.0,19.0,125.0,1.0,1.0,1.0,0.0,0.0,6.0,0.7432504888856786,0.0,0.0,147.20000000000002,161.20000000000002
0,00-0000242,J.Allred,11,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,94.0,1.0,0.0,0.0,0.0,10.0,5.0,0.04475276021739272,0.0,0.0,15.4,27.4
0,00-0000251,M.Alstott,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,956.0,7.0,5.0,5.0,47.0,-35.365656022622716,0.0,27.0,34.0,239.0,2.0,0.0,0.0,0.0,0.0,11.0,4.1687695132621325,0.0,0.0,163.5,190.5
